#{"t_start": 1756886730.8786914, "env_id": "None"}
r,l,t,iso_reward,pcs_reward,net_exchange,battery_level,predicted_demand,realized_demand
-17974869.800031,48,0.978176,-107914.75409777308,-0.0,0.0,30.0,150.0,13.680702688303825
-16797446.677962,48,1.13062,-97495.20925519377,-0.0,0.0,30.0,150.0,187.72964749545318
