#{"t_start": 1756886737.644327, "env_id": "None"}
r,l,t,iso_reward,pcs_reward,net_exchange,battery_level,predicted_demand,realized_demand
-13981891.193041,48,0.934321,-327347.75457750284,-0.0,0.0,30.0,150.0,-99.93909441201984
-12884934.013281,48,2.284304,-1076758.444788363,-0.0,0.0,30.0,150.0,292.7537954763692
